,mean_temp
10363,15.6
9285,16.0
426,8.0
949,16.8
3827,19.0
11508,18.8
3597,4.8
2865,7.9
9228,7.6
9458,11.0
14579,9.9
13954,9.1
7336,7.1
6857,14.1
6196,4.8
8169,13.4
12756,7.0
1691,23.8
9531,8.2
11164,17.8
8722,5.2
9711,19.2
1421,9.2
10558,9.3
14440,22.8
819,8.2
9478,4.2
14089,17.6
11764,5.4
3817,21.4
14252,3.5
15014,10.4
14456,20.7
14704,9.8
9263,11.1
11927,16.1
409,7.2
1285,22.4
9725,20.4
9244,12.3
13581,3.9
1941,15.1
13015,13.6
1091,2.1
5597,16.0
73,1.8
7908,19.0
9696,18.5
4448,11.4
11484,16.6
12308,13.0
13179,2.3
9853,8.0
291,13.4
9936,2.3
12672,14.7
8530,13.3
3578,15.8
14355,18.0
11686,6.9
6013,17.9
2089,14.9
5397,14.7
1801,3.0
14072,18.3
12099,6.9
1576,11.6
1110,-1.7
318,4.4
7018,7.9
7145,17.4
13908,5.9
8217,19.6
1825,5.6
3146,19.2
5339,18.7
13442,11.8
3411,13.0
144,9.4
12704,10.5
13603,8.8
8098,2.8
3514,16.6
4237,18.5
4062,5.6
14030,17.9
4502,7.8
9159,0.9
15150,24.6
10655,5.2
10973,6.6
12077,7.1
13827,5.6
14481,14.1
1830,4.0
9681,15.3
85,7.2
10471,17.2
1219,7.5
4429,3.5
5598,16.1
4098,11.1
9211,9.5
6452,13.7
5678,20.0
9053,12.0
8240,17.9
6913,3.7
4467,6.5
14922,4.1
594,18.0
6750,14.0
3919,17.6
15070,13.8
14227,4.8
4745,5.1
9964,12.6
8833,10.6
14877,18.4
14389,15.2
6282,2.4
61,11.0
7516,24.2
9058,9.2
3570,9.4
10059,24.4
13158,12.5
5349,13.8
4029,7.2
12897,13.8
12515,4.6
3728,5.6
12670,11.6
9318,17.4
14548,6.7
10937,2.0
15226,20.9
7976,7.2
9445,8.0
11671,2.6
7748,7.5
532,15.7
958,16.8
472,14.0
10657,7.1
13334,19.3
1513,0.4
2290,8.4
6408,18.9
14164,13.3
11576,19.5
6865,17.0
1479,3.6
9595,5.0
5883,4.6
2899,7.4
10291,11.2
7439,12.2
14991,8.5
11582,11.8
5610,14.6
4739,12.4
10529,10.4
6387,20.1
5194,10.4
5903,9.1
9804,11.4
4972,16.8
9404,16.6
491,8.2
10329,13.5
12930,12.0
14544,4.7
10475,19.1
8020,1.6
8099,1.9
127,11.2
10713,11.0
5595,14.9
6110,13.7
8861,9.4
3724,8.7
1264,15.4
9500,8.7
4948,19.7
10272,5.5
8257,15.0
11715,1.3
12332,11.4
5099,3.8
12979,22.2
4355,4.5
275,15.7
7578,13.4
13927,10.3
10743,18.4
1272,15.4
12723,13.2
12832,9.3
14935,6.8
8247,21.6
1897,6.0
12169,11.2
13776,16.3
5996,14.9
9994,14.8
12908,11.9
10872,14.4
15065,7.0
14077,21.1
1458,4.2
14853,16.4
12488,0.2
10440,16.6
6461,15.8
3585,14.3
2826,13.8
715,5.0
10776,16.6
5426,7.0
2973,2.2
13041,17.1
1118,4.6
11735,7.2
6826,17.2
7417,9.7
14933,4.2
1698,21.0
4337,12.5
5446,2.4
2316,9.2
11913,19.1
9410,12.2
10092,18.4
8115,4.6
11850,12.0
2458,15.0
10988,4.2
9243,11.0
5900,4.4
8040,7.2
2174,6.2
14110,16.8
8129,9.2
14677,10.2
10854,14.0
10187,8.4
13812,11.8
1864,6.0
12247,16.6
15045,11.7
13700,18.2
3846,18.8
10955,0.8
1145,4.4
3834,18.4
7252,13.8
14767,15.2
13663,14.2
733,10.4
4743,5.3
12083,0.6
5431,7.2
3282,11.2
2457,17.4
10203,7.6
11591,10.7
6134,13.0
13743,20.0
7305,9.2
1835,5.3
13662,15.6
12172,10.4
12696,16.0
7471,19.2
8218,21.6
4852,8.5
14816,22.2
6847,18.4
4256,20.4
15299,5.3
5094,6.4
5830,9.6
477,9.4
5582,5.9
11218,15.7
13912,10.2
4292,15.2
4438,6.7
8064,2.1
12023,6.8
642,12.2
7666,3.4
6804,23.8
8086,4.0
8214,18.8
14825,21.2
11601,15.7
11655,-1.1
1793,6.0
1692,21.0
7635,9.2
7894,20.4
7271,9.8
493,8.0
6883,11.6
157,12.0
4715,11.2
14467,15.9
1463,8.0
5049,7.0
8400,1.0
8124,8.0
8724,9.4
9746,19.8
5403,6.0
8965,22.0
2287,10.8
7881,19.2
3351,1.8
7720,3.8
10390,18.4
965,16.6
8974,17.4
9564,6.6
2252,5.0
