,sunshine,global_radiation,cloud_cover
8225,-0.506287247995218,0.36272314690157514,0.35157646255091085
8991,2.2742708667496085,1.8714973808173818,-1.5803996421280908
10240,0.26333151590736814,-0.7632277739311163,-2.5463876944675916
13238,0.983297456332368,0.7342869507763633,-1.0974056159583405
11732,0.13919945721340263,-0.5042590621395973,-0.61441158978859
10035,0.9336446328547815,1.5111930861509206,-0.13141756361883955
1498,-1.0524683062486662,-1.067234522555943,0.8345704887206613
6862,-1.077294717987459,-0.9884179580976545,1.3175645148904118
10295,0.6109012802504713,0.1600519811516907,-1.0974056159583405
10938,-1.077294717987459,-1.202348633055866,0.35157646255091085
9266,1.6784369850185743,1.8151998347757472,-0.61441158978859
14459,1.7032633967573674,1.725123761109132,-2.063393668297841
8818,0.9088182211159885,-0.13269525826480907,-1.5803996421280908
7653,0.2385051041685749,-0.8533038475977316,-0.61441158978859
8221,-0.009759013219356063,0.8131035152346517,0.8345704887206613
7225,-1.077294717987459,-0.9771584488893277,1.3175645148904118
8757,-1.077294717987459,-1.202348633055866,1.3175645148904118
2055,0.46194280981771285,0.8018440060263248,-1.0974056159583405
11710,-1.077294717987459,-1.1460510870142313,1.3175645148904118
2058,1.8273954554513328,1.5224525953592474,-2.5463876944675916
3550,-1.077294717987459,-0.8420443383894047,-0.13141756361883955
15046,0.26333151590736814,0.3176851100682675,-1.5803996421280908
11069,1.7529162202349537,1.5337121045675743,-2.063393668297841
6119,-0.4318080127788386,-0.41418298847298196,0.8345704887206613
5681,1.7032633967573674,1.848978362400728,-0.61441158978859
13844,-0.4069816010400455,-0.9096013936393662,-0.61441158978859
8132,0.33781075112374737,0.4865777481931712,-0.13141756361883955
8341,0.561248456772885,-0.4254424976813089,-0.61441158978859
8466,0.4867692215565058,0.04745688906842155,-0.61441158978859
483,-0.7545513653831489,-0.08765722143150143,0.8345704887206613
9188,-0.8290306005995282,-0.7744872831394432,-0.13141756361883955
12429,-0.506287247995218,-0.9658989396810007,0.35157646255091085
14436,0.9336446328547815,1.454895540109286,-0.61441158978859
13384,-1.077294717987459,-0.6506326818478472,1.3175645148904118
9514,-0.03458542495814907,-0.8082658107644239,-0.13141756361883955
11977,-0.009759013219356063,-0.39166397005632814,-1.0974056159583405
13165,-0.3573287775624594,-0.8983418844310392,-1.5803996421280908
4965,-0.4318080127788386,0.27264707323495985,0.35157646255091085
2984,-1.0524683062486662,-0.8758228660143854,0.8345704887206613
11956,-0.6800721301667696,-0.48174004372294343,0.35157646255091085
6423,-0.48146083625642483,0.250128054818306,-0.13141756361883955
3079,0.13919945721340263,0.9256986073179209,0.35157646255091085
2046,-0.258023130607287,0.3965016745265559,0.35157646255091085
5076,-0.6055928949503904,-0.9546394304726739,0.35157646255091085
13638,2.3239236902271947,2.0516495281506124,-2.5463876944675916
6127,-0.0594118366969423,-0.3353664240146935,-0.61441158978859
5135,-1.077294717987459,-1.1573105962225583,0.8345704887206613
7171,0.21367869242978188,0.6216918586930942,0.35157646255091085
4127,-0.23319671886849389,0.28390658244328676,0.8345704887206613
13896,0.38746357460133357,-0.7181897370978086,-1.0974056159583405
2347,-0.8786834240771144,-0.04261918459819377,1.3175645148904118
8289,-1.0028154827710798,-0.6281136634311933,0.8345704887206613
7018,0.4867692215565058,0.27264707323495985,-0.61441158978859
8176,2.5721878076151254,2.366915785983766,-0.13141756361883955
15062,1.9018746906677122,1.2634838835677282,-1.0974056159583405
12486,-1.077294717987459,-0.8983418844310392,1.3175645148904118
15272,-0.5807664832115972,-0.673151700264501,0.8345704887206613
13098,-0.8786834240771144,-0.9884179580976545,0.35157646255091085
1414,0.5860748685116783,-0.5718161173895587,-0.13141756361883955
499,2.398402925443574,2.209282657067189,-2.5463876944675916
668,0.75985975068323,-0.34662593322302043,-0.61441158978859
7363,-0.20837030712970078,-0.4592210253062896,0.35157646255091085
8630,0.13919945721340263,0.5879133310681134,0.8345704887206613
3033,-0.009759013219356063,0.46405872977651735,0.35157646255091085
6827,1.6784369850185743,0.9594771349429017,-0.61441158978859
7464,2.44805574892116,2.4006943136087466,-1.0974056159583405
6388,-0.7048985419055627,0.18257099956834452,0.8345704887206613
2485,0.8591653976384023,-0.1552142766814629,-2.063393668297841
12464,-0.0594118366969423,-0.5605566081812319,-0.61441158978859
13654,-0.3573287775624594,0.44153971135986353,0.8345704887206613
303,0.26333151590736814,-0.48174004372294343,-0.13141756361883955
9990,-0.5807664832115972,0.1600519811516907,0.35157646255091085
3946,-1.0276418945098729,-0.9546394304726739,1.3175645148904118
5872,-1.0028154827710798,-1.067234522555943,1.3175645148904118
1703,0.2881579276461611,0.5203562758181519,-0.61441158978859
4125,1.1819087502427124,1.1508887914844592,-0.13141756361883955
6682,-0.28284954234608,0.21634952719332526,-0.13141756361883955
5639,0.4371163980789196,1.162148300692786,0.35157646255091085
13464,-0.5559400714728041,-0.8645633568060586,-0.13141756361883955
10371,0.809512574160816,1.3423004480260168,-0.13141756361883955
6208,-1.077294717987459,-1.191089123847539,1.3175645148904118
1042,0.03989381025823017,-0.6393731726395202,0.8345704887206613
14999,-1.077294717987459,-1.202348633055866,1.3175645148904118
5034,1.231561573720299,0.0924949259017292,-2.063393668297841
2924,0.4122899863401266,-0.797006301556097,-0.61441158978859
3206,1.1819087502427124,0.11501394431838304,-0.61441158978859
14002,-1.0524683062486662,-0.4479615160979627,1.3175645148904118
9243,1.7032633967573674,1.5224525953592474,-1.0974056159583405
8704,-1.0276418945098729,-1.0109369765143084,1.3175645148904118
14267,-1.077294717987459,-1.1460510870142313,1.3175645148904118
9161,-1.077294717987459,-1.1235320685975776,1.3175645148904118
13258,2.0260067493616774,1.6463071966508436,-2.5463876944675916
