,mean_temp
5391,13.4
13427,17.1
1463,8.0
9999,15.1
10537,9.8
4740,4.6
14888,14.4
9745,19.0
6790,18.4
12255,16.2
2287,10.8
7879,17.7
3351,1.8
9660,12.9
12579,13.3
965,16.6
7911,16.0
6695,15.4
2252,5.0
9585,9.3
2578,5.8
438,4.4
9393,13.0
8487,8.6
1614,15.2
8168,18.4
5028,12.5
9186,2.0
15104,17.8
8127,13.6
15105,14.8
13413,12.0
467,10.5
10313,10.8
3751,7.8
4832,7.0
756,6.3
5678,20.0
2929,-1.7
2688,12.4
1090,-0.2
7050,10.0
4715,11.2
3958,11.8
7497,19.5
12331,13.2
1374,11.4
12618,22.6
11502,22.3
12714,15.6
14879,16.1
10284,8.0
12177,8.6
13860,6.7
6529,3.4
2186,1.8
9898,4.2
4250,18.2
13052,18.1
1432,5.4
11115,12.9
6312,6.2
5145,5.0
6693,14.4
13853,3.4
2102,11.4
4885,12.5
7695,3.2
3891,16.1
1995,20.0
2952,-0.4
6225,8.0
13420,14.8
7621,7.6
14455,20.1
8528,12.0
2447,15.0
12321,13.3
9247,14.8
12064,10.1
10918,4.3
6482,14.2
12904,11.8
9152,7.5
8187,14.2
14226,3.9
14903,11.1
11643,4.2
6377,20.8
4153,15.8
134,19.6
11387,4.2
799,12.7
9070,9.4
427,4.0
9632,12.3
13326,18.4
7300,9.0
6156,11.7
14219,9.7
1255,18.2
5923,4.7
7132,16.8
10540,10.8
9378,20.0
6045,23.8
3131,18.7
1926,7.1
6070,22.0
3037,15.1
11392,4.1
10548,5.8
11262,13.5
15107,9.3
9720,18.5
15077,17.2
5707,16.6
12807,5.3
11220,17.2
3746,4.2
5094,6.4
14160,14.1
11073,11.2
13499,13.6
4096,10.0
8500,8.9
11241,13.5
3503,16.0
11212,16.9
9366,17.8
10959,3.4
10560,9.5
2314,9.0
9488,10.2
5250,17.2
2018,18.2
4660,11.2
5503,8.5
12577,13.8
4475,8.8
10094,17.7
13444,12.0
4513,11.6
11217,14.6
6879,5.8
8020,1.6
7591,10.3
12827,6.2
3448,12.8
12392,1.1
43,4.2
17,0.8
6051,20.6
1883,3.4
10955,0.8
2372,17.2
12809,6.9
10316,
9599,9.9
11790,9.1
4094,14.3
8772,0.0
13065,14.7
10977,4.4
14284,3.0
6417,19.4
6857,14.1
3305,7.7
10623,5.9
443,2.4
9410,12.2
11512,23.5
15172,
5627,10.2
10184,6.8
13058,18.5
